1	Russia	145,934,462	0.04 %	62,206	9	16,376,870	182,456	1.8	40	74 %	1.87 %
2	Germany	83,783,942	0.32 %	266,897	240	348,560	543,822	1.6	46	76 %	1.07 %
3	United Kingdom	67,886,011	0.53 %	355,839	281	241,930	260,650	1.8	40	83 %	0.87 %
4	France	65,273,511	0.22 %	143,783	119	547,557	36,527	1.9	42	82 %	0.84 %
5	Italy	60,461,826	-0.15 %	-88,249	206	294,140	148,943	1.3	47	69 %	0.78 %
6	Spain	46,754,778	0.04 %	18,002	94	498,800	40,000	1.3	45	80 %	0.60 %
7	Ukraine	43,733,762	-0.59 %	-259,876	75	579,320	10,000	1.4	41	69 %	0.56 %
8	Poland	37,846,611	-0.11 %	-41,157	124	306,230	-29,395	1.4	42	60 %	0.49 %
9	Romania	19,237,691	-0.66 %	-126,866	84	230,170	-73,999	1.6	43	55 %	0.25 %
10	Netherlands	17,134,872	0.22 %	37,742	508	33,720	16,000	1.7	43	92 %	0.22 %
11	Belgium	11,589,623	0.44 %	50,295	383	30,280	48,000	1.7	42	98 %	0.15 %
12	Czech Republic (Czechia)	10,708,981	0.18 %	19,772	139	77,240	22,011	1.6	43	74 %	0.14 %
13	Greece	10,423,054	-0.48 %	-50,401	81	128,900	-16,000	1.3	46	85 %	0.13 %
14	Portugal	10,196,709	-0.29 %	-29,478	111	91,590	-6,000	1.3	46	66 %	0.13 %
15	Sweden	10,099,265	0.63 %	62,886	25	410,340	40,000	1.9	41	88 %	0.13 %
16	Hungary	9,660,351	-0.25 %	-24,328	107	90,530	6,000	1.5	43	72 %	0.12 %
17	Belarus	9,449,323	-0.03 %	-3,088	47	202,910	8,730	1.7	40	79 %	0.12 %
18	Austria	9,006,398	0.57 %	51,296	109	82,409	65,000	1.5	43	57 %	0.12 %
19	Serbia	8,737,371	-0.40 %	-34,864	100	87,460	4,000	1.5	42	56 %	0.11 %
20	Switzerland	8,654,622	0.74 %	63,257	219	39,516	52,000	1.5	43	74 %	0.11 %
21	Bulgaria	6,948,445	-0.74 %	-51,674	64	108,560	-4,800	1.6	45	76 %	0.09 %
22	Denmark	5,792,202	0.35 %	20,326	137	42,430	15,200	1.8	42	88 %	0.07 %
23	Finland	5,540,720	0.15 %	8,564	18	303,890	14,000	1.5	43	86 %	0.07 %
24	Slovakia	5,459,642	0.05 %	2,629	114	48,088	1,485	1.5	41	54 %	0.07 %
25	Norway	5,421,241	0.79 %	42,384	15	365,268	28,000	1.7	40	83 %	0.07 %
26	Ireland	4,937,786	1.13 %	55,291	72	68,890	23,604	1.8	38	63 %	0.06 %
27	Croatia	4,105,267	-0.61 %	-25,037	73	55,960	-8,001	1.4	44	58 %	0.05 %
28	Moldova	4,033,963	-0.23 %	-9,300	123	32,850	-1,387	1.3	38	43 %	0.05 %
29	Bosnia and Herzegovina	3,280,819	-0.61 %	-20,181	64	51,000	-21,585	1.3	43	52 %	0.04 %
30	Albania	2,877,797	-0.11 %	-3,120	105	27,400	-14,000	1.6	36	63 %	0.04 %
31	Lithuania	2,722,289	-1.35 %	-37,338	43	62,674	-32,780	1.7	45	71 %	0.03 %
32	North Macedonia	2,083,374	0.00 %	-85	83	25,220	-1,000	1.5	39	59 %	0.03 %
33	Slovenia	2,078,938	0.01 %	284	103	20,140	2,000	1.6	45	55 %	0.03 %
34	Latvia	1,886,198	-1.08 %	-20,545	30	62,200	-14,837	1.7	44	69 %	0.02 %
35	Estonia	1,326,535	0.07 %	887	31	42,390	3,911	1.6	42	68 %	0.02 %
36	Montenegro	628,066	0.01 %	79	47	13,450	-480	1.8	39	68 %	0.01 %
37	Luxembourg	625,978	1.66 %	10,249	242	2,590	9,741	1.5	40	88 %	0.01 %
38	Malta	441,543	0.27 %	1,171	1,380	320	900	1.5	43	93 %	0.01 %
39	Iceland	341,243	0.65 %	2,212	3	100,250	380	1.8	37	94 %	0.00 %
40	Channel Islands	173,863	0.93 %	1,604	915	190	1,351	1.5	43	30 %	0.00 %
41	Isle of Man	85,033	0.53 %	449	149	570		N.A.	N.A.	53 %	0.00 %
42	Andorra	77,265	0.16 %	123	164	470		N.A.	N.A.	88 %	0.00 %
43	Faeroe Islands	48,863	0.38 %	185	35	1,396		N.A.	N.A.	43 %	0.00 %
44	Monaco	39,242	0.71 %	278	26,337	1		N.A.	N.A.	N.A.	0.00 %
45	Liechtenstein	38,128	0.29 %	109	238	160		N.A.	N.A.	15 %	0.00 %
46	San Marino	33,931	0.21 %	71	566	60		N.A.	N.A.	97 %	0.00 %
47	Gibraltar	33,691	-0.03 %	-10	3,369	10		N.A.	N.A.	N.A.	0.00 %
48	Holy See	801	0.25 %	2	2,003	0		N.A.	N.A.	N.A.	0.00 %
