Russia	145934462
Germany	83783942
United Kingdom	67886011
France	65273511
Italy	60461826
Spain	46754778
Ukraine	43733762
Poland	37846611
Romania	19237691
Netherlands	17134872
Belgium	11589623
Czech Republic (Czechia)	10708981
Greece	10423054
Portugal	10196709
Sweden	10099265
Hungary	9660351
Belarus	9449323
Austria	9006398
Serbia	8737371
Switzerland	8654622
Bulgaria	6948445
Denmark	5792202
Finland	5540720
Slovakia	5459642
Norway	5421241
Ireland	4937786
Croatia	4105267
Moldova	4033963
Bosnia and Herzegovina	3280819
Albania	2877797
Lithuania	2722289
North Macedonia	2083374
Slovenia	2078938
Latvia	1886198
Estonia	1326535
Montenegro	628066
Luxembourg	625978
Malta	441543
Iceland	341243
Channel Islands	173863
Isle of Man	85033
Andorra	77265
Faeroe Islands	48863
Monaco	39242
Liechtenstein	38128
San Marino	33931
Gibraltar	33691
Holy See	801
